time,open,close,high,low,volume
2021-06-01 04:00:00,3.1404,3.1459,3.1459,3.1401,108.76281318
2021-06-01 04:15:00,3.1523,3.1523,3.1523,3.1523,7.74869865
2021-06-01 04:30:00,3.1585,3.158,3.1585,3.158,2.5225662399999997
2021-06-01 05:15:00,3.1829,3.1829,3.1829,3.1829,2.49968179
2021-06-01 05:30:00,3.2073,3.2161,3.2161,3.2073,6.29162437
2021-06-01 05:45:00,3.2317,3.247,3.247,3.2317,122.96311436
2021-06-01 06:00:00,3.2326,3.2536,3.2536,3.231,449.66225805
2021-06-01 06:15:00,3.2073,3.216,3.216,3.2072,204.19254196
2021-06-01 06:30:00,3.1982,3.1738,3.1982,3.1704,66.21250145
2021-06-01 06:45:00,3.1779,3.1899,3.1899,3.1779,19.1775536
2021-06-01 07:00:00,3.2073,3.2089,3.2089,3.2073,3.0847963299999996
2021-06-01 07:15:00,3.1829,3.1829,3.1829,3.1829,2.49968179
2021-06-01 07:30:00,3.179,3.1885,3.1885,3.1781,5.19269906
2021-06-01 07:45:00,3.191,3.1897,3.191,3.1887,22.97497911
2021-06-01 08:00:00,3.1649,3.1309,3.1649,3.1265,19.07555333
2021-06-01 08:15:00,3.1136,3.0839,3.1235,3.0799,6009.6696038
2021-06-01 08:30:00,3.0609,3.0591,3.0609,3.0493,139.36239208
2021-06-01 08:45:00,3.0365,3.0699,3.0699,3.0365,42.00204414
2021-06-01 09:00:00,3.0822,3.0927,3.0971,3.0816,89.69804797
2021-06-01 09:15:00,3.0801,3.0676,3.0805,3.0609,23.55300712
2021-06-01 09:30:00,3.0535,3.0498,3.0535,3.0329,1629.7698341100001
2021-06-01 09:45:00,3.0464,3.0503,3.0609,3.0365,186.0792184
2021-06-01 10:00:00,3.0426,3.083,3.083,3.0426,42.82917003
2021-06-01 10:15:00,3.0836,3.111,3.1111,3.0836,68.08713172
2021-06-01 10:30:00,3.092,3.1243,3.1243,3.092,44.35696267
2021-06-01 10:45:00,3.1341,3.1874,3.2073,3.129,3721.39778771
2021-06-01 11:00:00,3.1634,3.1634,3.1656,3.1579,15.22972159
2021-06-01 11:15:00,3.1567,3.1904,3.1909,3.1567,311.23131813000003
2021-06-01 11:30:00,3.2001,3.2135,3.2135,3.2001,6.31097029
2021-06-01 12:00:00,3.1829,3.1536,3.1877,3.1536,6.12486483
2021-06-01 12:15:00,3.1531,3.1337,3.1706,3.1337,37.78244504
2021-06-01 12:30:00,3.148,3.1658,3.1667,3.148,807.1925185
2021-06-01 12:45:00,3.1341,3.1352,3.1352,3.1266,3.70159711
2021-06-01 13:00:00,3.1097,3.0756,3.1261,3.073,10.99864694
2021-06-01 13:15:00,3.0632,3.1341,3.1341,3.0624,647.70715769
2021-06-01 13:30:00,3.1383,3.1865,3.1865,3.1383,5.915228819999999
2021-06-01 13:45:00,3.1822,3.1663,3.1834,3.1582,3.40864308
2021-06-01 14:00:00,3.1829,3.1847,3.1847,3.1829,2.56021454
2021-06-01 14:15:00,3.1585,3.1618,3.1701,3.1512,27.40909257
2021-06-01 14:30:00,3.1829,3.1661,3.1829,3.1661,16.78296228
2021-06-01 14:45:00,3.1585,3.1244,3.1585,3.1216,20.46239579
2021-06-01 15:00:00,3.1265,3.1067,3.1265,3.1033,11.124659099999999
2021-06-01 15:30:00,3.0853,3.1097,3.1097,3.0853,5.75721515
2021-06-01 16:00:00,3.1114,3.1154,3.1341,3.0967,41.866285
2021-06-01 16:15:00,3.1341,3.1341,3.1341,3.1341,2.49968179
2021-06-01 16:30:00,3.1097,3.1177,3.1177,3.1097,3.44150505
2021-06-01 16:45:00,3.1172,3.083,3.1172,3.0749,39.44773454
2021-06-01 17:00:00,3.0609,3.0609,3.0609,3.0609,2.49968179
2021-06-01 17:15:00,3.0648,3.0779,3.0779,3.0648,0.8657312500000001
2021-06-01 17:30:00,3.0853,3.1099,3.1099,3.0853,5.21581971
2021-06-01 17:45:00,3.0963,3.1045,3.1045,3.0963,4.45810463
2021-06-01 18:00:00,3.1341,3.1313,3.1341,3.13,49.43827703
2021-06-01 18:30:00,3.1392,3.149,3.149,3.1392,805.9872865399999
2021-06-01 19:00:00,3.1097,3.0874,3.1106,3.0853,7.17522929
2021-06-01 19:15:00,3.0742,3.0916,3.0916,3.0742,0.45039065999999994
2021-06-01 19:30:00,3.0609,3.0359,3.0609,3.0331,7.24113597
2021-06-01 19:45:00,3.0259,3.0039,3.0259,2.9938,6515.4961652
2021-06-01 20:00:00,3.014,3.0223,3.0365,3.0059,1126.59429844
2021-06-01 20:15:00,3.032,3.0338,3.0365,3.0314,872.71819365
2021-06-01 20:45:00,3.033,3.0286,3.033,3.0286,825.59969746
2021-06-01 21:00:00,3.0447,3.0563,3.0563,3.0447,60.05366147
2021-06-01 21:45:00,3.0347,3.0668,3.0668,3.0347,51.28348424
2021-06-01 22:00:00,3.0797,3.0877,3.0884,3.0797,18.44779736
2021-06-01 22:15:00,3.0768,3.0734,3.0812,3.0618,50.01420426
2021-06-01 22:45:00,3.0609,3.065,3.0656,3.0452,43.40820153
2021-06-01 23:00:00,3.0832,3.0939,3.0939,3.08,10.51233758
2021-06-01 23:15:00,3.0897,3.0929,3.0929,3.0897,4.12658599
2021-06-01 23:30:00,3.0987,3.1137,3.1137,3.0987,15.736224239999999
2021-06-02 00:00:00,3.1213,3.0912,3.1341,3.0908,26.119865660000002
2021-06-02 00:15:00,3.0853,3.075,3.0878,3.0609,1838.87059546
2021-06-02 00:30:00,3.0679,3.0853,3.0853,3.0679,2.72562037
2021-06-02 00:45:00,3.075,3.0756,3.0756,3.075,11.91759996
2021-06-02 01:00:00,3.0908,3.0527,3.0908,3.0501,3.0820156499999998
