BTC
ETH
BNB
XRP
USDT
DOGE
ADA
DOT
LTC
BCH
UNI
LINK
XLM
THETA
VET
FIL
TRX
USDC
WBTC
BSV
EOS
SOL
MIOTA
KLAY
XMR
LUNA
NEO
CRO
AAVE
XTZ
ATOM
BUSD
BTT
FTT
AVAX
ETC
ALGO
XEM
KSM
DASH
HT
EGLD
CHZ
MKR
CAKE
DAI
BTCB
RUNE
HOT
ZEC
COMP
DCR
HBAR
STX
GRT
ENJ
SNX
ZIL
BAT
LEO
MATIC
NEAR
SUSHI
NEXO
BTG
TFUEL
MANA
SC
ONT
YFI
UST
QTUM
RVN
WAVES
UMA
ZRX
DGB
CEL
ICX
RSR
BNT
OMG
ANKR
ONE
ZEN
IOST
FLOW
OKB
REN
HNT
CRV
FTM
CHSB
REV
KCS
XVG
DENT
NPXS
BTMX
VGX
1INCH
WRX
PAX
SNT
CELO
CFX
LSK
AR
BTCST
VTHO
XVS
LRC
RENBTC
NANO
CKB
MCO
KNC
OCEAN
HUSD
MDX
LPT
STORJ
BCD
OGN
ZKS
REP
EWT
GLM
MAID
DODO
STMX
IOTX
WIN
QNT
SKL
REEF
FET
NKN
SAND
CVC
STEEM
ARDR
BAL
BTS
FUN
BADGER
KMD
KIN
BAND
ANT
SXP
ALPHA
VLX
AGI
JST
ORBS
KAVA
CELR
MED
WAXP
SWAP
WAN
NMR
WOO
PPT
TEL
BTM
SRM
UBT
XHV
CVT
STRAX
TUSD
ARK
SCRT
AVA
UTK
GT
OXT
ROSE
MTL
ZB
ELF
GNO
SYS
POLY
RIF
HNS
TOMO
TRAC
NOIA
QKC
META
COTI
UQC
POLS
AMPL
POWR
NU
HIVE
